borough,avg_tip_rate,trips
Staten Island,0.12427674443860781,9513802
Bronx,0.1195102655607436,5743284
Brooklyn,0.11879679865599353,15519458
Queens,0.1174155424696206,2834779
Manhattan,0.11391699636244453,2412939
