trip_category,total_viagens,avg_dist,avg_total,avg_tip
Muito Longa (>20 mi),404909,35.201304194275956,114.30154103760051,12.0875337668459
Longa (10–20 mi),2745353,14.967956029698295,82.95418990931937,9.84051342031224
Média (5–10 mi),3049615,7.286366820074195,49.04065877167692,6.086642851638726
Curta (1–5 mi),21878290,2.141713804872416,22.770201630932817,2.9305784341462937
Muito Curta (<1 mi),7534445,0.685072461209808,14.415643088503991,1.7947028135434777
