pulocationid,avg_total_amount,trips
265,116.1083393555415,20203
1,108.53980801335555,4792
5,90.49963730569951,386
176,89.06727272727272,11
109,85.566,30
99,82.26454545454546,11
84,81.63,14
204,81.62444444444445,18
132,80.75869824443151,1926652
172,80.35592592592593,27
