borough,avg_tip_rate,trips
Staten Island,0.1242767444388657,9513802
Bronx,0.11951026556040749,5743284
Brooklyn,0.11879679865607157,15519458
Queens,0.11741554246975162,2834779
Manhattan,0.11391699636251487,2412939
